Cuenta de niv_sec_sel,Etiquetas de columna,,,,,Cuenta de niv_sec_sel,Etiquetas de columna,,,,,Cuenta de niv_sec_sel,Etiquetas de columna,,,,,,,
Etiquetas de fila,0,la ie tiene jer,(en blanco),Total general,,Etiquetas de fila,0,la ie tiene jec,(en blanco),Total general,,Etiquetas de fila,0,la ie es crfa,(en blanco),Total general,,,,
AMAZONAS,36,69,,105,,AMAZONAS,71,34,,105,,AMAZONAS,104,1,,105,,,,
ANCASH,42,106,,148,,ANCASH,106,42,,148,,ANCASH,148,,,148,,,,
APURIMAC,38,70,,108,,APURIMAC,72,36,,108,,APURIMAC,106,2,,108,,,,
AREQUIPA,28,61,,89,,AREQUIPA,63,26,,89,,AREQUIPA,87,2,,89,,,,
AYACUCHO,33,92,,125,,AYACUCHO,94,31,,125,,AYACUCHO,124,1,,125,,,,
CAJAMARCA,45,88,,133,,CAJAMARCA,88,45,,133,,CAJAMARCA,133,,,133,,,,
CALLAO,4,38,,42,,CALLAO,38,4,,42,,CALLAO,42,,,42,,,,
CUSCO,56,77,,133,,CUSCO,82,51,,133,,CUSCO,129,4,,133,,,,
HUANCAVELICA,57,52,,109,,HUANCAVELICA,53,56,,109,,HUANCAVELICA,109,,,109,,,,
HUANUCO,29,87,,116,,HUANUCO,88,28,,116,,HUANUCO,115,1,,116,,,,
ICA,23,44,,67,,ICA,44,23,,67,,ICA,67,,,67,,,,
JUNIN,29,97,,126,,JUNIN,97,29,,126,,JUNIN,126,,,126,,,,
LA LIBERTAD,11,122,,133,,LA LIBERTAD,123,10,,133,,LA LIBERTAD,133,,,133,,,,
LAMBAYEQUE,10,83,,93,,LAMBAYEQUE,83,10,,93,,LAMBAYEQUE,93,,,93,,,,
LIMA,67,275,1,343,,LIMA,275,67,1,343,,LIMA,342,,1,343,,,,
LORETO,11,129,,140,,LORETO,133,7,,140,,LORETO,136,4,,140,,,,
MADRE DE DIOS,13,35,,48,,MADRE DE DIOS,35,13,,48,,MADRE DE DIOS,48,,,48,,,,
MOQUEGUA,15,52,,67,,MOQUEGUA,53,14,,67,,MOQUEGUA,67,,,67,,,,
PASCO,27,61,,88,,PASCO,62,26,,88,,PASCO,88,,,88,,,,
PIURA,46,87,,133,,PIURA,88,45,,133,,PIURA,133,,,133,,,,
PUNO,51,78,,129,,PUNO,79,50,,129,,PUNO,129,,,129,,,,
SAN MARTIN,29,96,,125,,SAN MARTIN,96,29,,125,,SAN MARTIN,125,,,125,,,,
TACNA,15,50,,65,,TACNA,51,14,,65,,TACNA,65,,,65,,,,
TUMBES,8,52,,60,,TUMBES,52,8,,60,,TUMBES,60,,,60,,,,
UCAYALI,8,86,,94,,UCAYALI,87,7,,94,,UCAYALI,93,1,,94,,,,
Total general,731,2087,1,2819,,Total general,2113,705,1,2819,,Total general,2802,16,1,2819,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
